track_id,title,artist,popularity
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,91
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,92
5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,6
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,89
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,92
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,85
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,93
1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,4
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,12
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,91
0CcQNd8CINkwQfe1RDtGV6,Believer,Imagine Dragons,7
6CDzDgIUqeDY5g8ujExx2f,Heat Waves,Glass Animals,11
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,90
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,90
2NQzj8czPzUw9ufCOvAT8W,Sunlight,The Hourglass Effect,49
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,88
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,77
6rzLjqbfZ2bfom2g6UUDKD,Chained,Alwyn Morrison,46
7wGoVu4Dady5GV0Sv4UIsx,rockstar,Post Malone,8
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,91
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,85
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,94
0ONCBcd5vrXlbAlpejbbgO,The Hard Days,Naked Face,44
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,93
2EiGECydkS2M8OCcRHQZhT,Take Me To Church,Hozier,2
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,90
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,92
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,87
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,81
6dHFM8TPe90x7egKveFEaX,Necromancer,Band of Silver,48
5edBgVtRD0fvWk140Sl21T,Counting Stars,OneRepublic,4
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,87
2ENftrVuQ2d9U2YRrlvHZJ,Dark Knight,Cwby,53
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,85
20fhmz22BcV0V7XIWOB6aj,No Good Man,Meagan Allen,45
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,92
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),Macklemore,83
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,86
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,87
1n19UiwISLvisCjNhjd5r7,Shine a Light,Visceral Design,50
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,89
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,84
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,82
2eHmX05hiyqkOT3mB7ISFP,BAD HABIT,Sydney Gordon,35
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,84
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,90
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,5
6T8cJz5lAqGer9GUHGyelE,God's Plan,Drake,3
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,88
2LcFtw5SqddSIdyT7j8nfV,Sabrina,Marigo Bay,36
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,83
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,88
6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,Avicii,11
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,85
0XNODYfG6OvtFw0QQbkQbn,Only Human,Sentury,44
0tKcYR2II1VCQWT79i5NrW,Thunder,Imagine Dragons,8
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,93
2Oehrcv4Kov0SuIgWyQY9e,Demons,Imagine Dragons,7
5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,Bruno Mars,57
69xbnaJkdcXnsAgEZrJ9qb,Take Care of Me,Y is Nature,34
25khomWgBVamSdKw7hzm3l,The Hills,The Weeknd,3
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,89
2JqNNFjlDJfIPNASjTvJ72,Marionette,Ava Della Pietra,44
0B7wvvmu9EISAwZnOpjhNI,When I Was Your Man,Bruno Mars,54
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,89
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,90
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,100
7ujx3NYtwO2LkmKGz59mXp,HUMBLE.,Kendrick Lamar,7
15aCcIBuGjkTBCewAkUg8K,Breakfast in Bed,Cwby,50
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,91
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,90
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,92
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,88
0RMuhbvaALgw2tP2rBVeFX,Set the Score,AllyxWay,38
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,98
7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself,Eminem,74
7DFNE7NO0raLIUbgzY2rzm,Let Her Go,Passenger,5
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,89
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,85
